Round,EnergyUsed,AliveNodes,ReachedSink,AvgDistToSink
1,0.02865816307066014,36,0,159.77550553010045
2,0.048090443298896016,36,1,159.77550553010045
3,0.04642950683732057,34,1,159.6594031166455
4,0.04311524820360911,31,1,158.0314239921829
5,0.042477926732958624,30,1,157.69230826167492
6,0.04183085008399924,29,1,156.3044075314698
7,0.04183085008399924,29,1,156.3044075314698
8,0.04183085008399924,29,1,156.3044075314698
9,0.040622332600911665,28,1,155.44414563281205
10,0.040622332600911665,28,1,155.44414563281205
11,0.040622332600911665,28,1,155.44414563281205
12,0.039256014030468696,27,1,156.20784494606602
13,0.039256014030468696,27,1,156.20784494606602
14,0.039256014030468696,27,1,156.20784494606602
15,0.03699850381269428,26,1,157.29118160946894
16,0.03699850381269428,26,1,157.29118160946894
17,0.03699850381269428,26,1,157.29118160946894
18,0.03699850381269428,26,1,157.29118160946894
19,0.03699850381269428,26,1,157.29118160946894
20,0.03699850381269428,26,1,157.29118160946894
21,0.03699850381269428,26,1,157.29118160946894
22,0.03699850381269428,26,1,157.29118160946894
23,0.03699850381269428,26,1,157.29118160946894
24,0.03699850381269428,26,1,157.29118160946894
25,0.03699850381269428,26,1,157.29118160946894
26,0.03699850381269428,26,1,157.29118160946894
27,0.03699850381269428,26,1,157.29118160946894
28,0.03699850381269428,26,1,157.29118160946894
29,0.03699850381269428,26,1,157.29118160946894
30,0.03699850381269428,26,1,157.29118160946894
31,0.03699850381269428,26,1,157.29118160946894
32,0.03699850381269428,26,1,157.29118160946894
33,0.03699850381269428,26,1,157.29118160946894
34,0.03699850381269428,26,1,157.29118160946894
35,0.03699850381269428,26,1,157.29118160946894
36,0.03699850381269428,26,1,157.29118160946894
37,0.03699850381269428,26,1,157.29118160946894
38,0.03699850381269428,26,1,157.29118160946894
39,0.03699850381269428,26,1,157.29118160946894
40,0.03699850381269428,26,1,157.29118160946894
41,0.03699850381269428,26,1,157.29118160946894
42,0.03699850381269428,26,1,157.29118160946894
43,0.03699850381269428,26,1,157.29118160946894
44,0.03699850381269428,26,1,157.29118160946894
45,0.03699850381269428,26,1,157.29118160946894
46,0.03699850381269428,26,1,157.29118160946894
47,0.03699850381269428,26,1,157.29118160946894
48,0.03699850381269428,26,1,157.29118160946894
49,0.03699850381269428,26,1,157.29118160946894
50,0.03699850381269428,26,1,157.29118160946894
51,0.03699850381269428,26,1,157.29118160946894
52,0.03699850381269428,26,1,157.29118160946894
53,0.03699850381269428,26,1,157.29118160946894
54,0.03699850381269428,26,1,157.29118160946894
55,0.03699850381269428,26,1,157.29118160946894
56,0.03699850381269428,26,1,157.29118160946894
57,0.03699850381269428,26,1,157.29118160946894
58,0.03699850381269428,26,1,157.29118160946894
59,0.03699850381269428,26,1,157.29118160946894
60,0.03699850381269428,26,1,157.29118160946894
61,0.03699850381269428,26,1,157.29118160946894
62,0.03699850381269428,26,1,157.29118160946894
63,0.03699850381269428,26,1,157.29118160946894
64,0.03699850381269428,26,1,157.29118160946894
65,0.03699850381269428,26,1,157.29118160946894
66,0.03699850381269428,26,1,157.29118160946894
67,0.03699850381269428,26,1,157.29118160946894
68,0.03699850381269428,26,1,157.29118160946894
69,0.03699850381269428,26,1,157.29118160946894
70,0.03699850381269428,26,1,157.29118160946894
71,0.03699850381269428,26,1,157.29118160946894
72,0.03699850381269428,26,1,157.29118160946894
73,0.03699850381269428,26,1,157.29118160946894
74,0.03699850381269428,26,1,157.29118160946894
75,0.03699850381269428,26,1,157.29118160946894
76,0.03699850381269428,26,1,157.29118160946894
77,0.03699850381269428,26,1,157.29118160946894
78,0.03699850381269428,26,1,157.29118160946894
79,0.03699850381269428,26,1,157.29118160946894
80,0.03699850381269428,26,1,157.29118160946894
81,0.03699850381269428,26,1,157.29118160946894
82,0.03699850381269428,26,1,157.29118160946894
83,0.03699850381269428,26,1,157.29118160946894
84,0.03699850381269428,26,1,157.29118160946894
85,0.03699850381269428,26,1,157.29118160946894
86,0.03699850381269428,26,1,157.29118160946894
87,0.03699850381269428,26,1,157.29118160946894
88,0.03699850381269428,26,1,157.29118160946894
89,0.03699850381269428,26,1,157.29118160946894
90,0.03699850381269428,26,1,157.29118160946894
91,0.03699850381269428,26,1,157.29118160946894
92,0.03699850381269428,26,1,157.29118160946894
93,0.03699850381269428,26,1,157.29118160946894
94,0.03699850381269428,26,1,157.29118160946894
95,0.03699850381269428,26,1,157.29118160946894
96,0.03699850381269428,26,1,157.29118160946894
97,0.03699850381269428,26,1,157.29118160946894
98,0.03699850381269428,26,1,157.29118160946894
99,0.03699850381269428,26,1,157.29118160946894
100,0.03699850381269428,26,1,157.29118160946894
