Round,EnergyUsed,AliveNodes,ReachedSink,AvgDistToSink
1,0.057753255978945685,38,1,144.0681310045377
2,0.05516070580349348,36,1,144.633882278
3,0.05404873801510384,35,1,143.29311687030722
4,0.05404873801510384,35,1,143.29311687030722
5,0.05404873801510384,35,1,143.29311687030722
6,0.05404873801510384,35,1,143.29311687030722
7,0.05404873801510384,35,1,143.29311687030722
8,0.05404873801510384,35,1,143.29311687030722
9,0.05404873801510384,35,1,143.29311687030722
10,0.05404873801510384,35,1,143.29311687030722
11,0.05404873801510384,35,1,143.29311687030722
12,0.05404873801510384,35,1,143.29311687030722
13,0.05404873801510384,35,1,143.29311687030722
14,0.05404873801510384,35,1,143.29311687030722
15,0.05404873801510384,35,1,143.29311687030722
16,0.05404873801510384,35,1,143.29311687030722
17,0.05404873801510384,35,1,143.29311687030722
18,0.05404873801510384,35,1,143.29311687030722
19,0.05404873801510384,35,1,143.29311687030722
20,0.05404873801510384,35,1,143.29311687030722
21,0.05404873801510384,35,1,143.29311687030722
22,0.05404873801510384,35,1,143.29311687030722
23,0.05404873801510384,35,1,143.29311687030722
24,0.05404873801510384,35,1,143.29311687030722
25,0.05404873801510384,35,1,143.29311687030722
26,0.052918289867178794,34,1,142.3264824433452
27,0.05324303465276655,34,1,142.3264824433452
28,0.05324303465276655,34,1,142.3264824433452
29,0.05324303465276655,34,1,142.3264824433452
30,0.05324303465276655,34,1,142.3264824433452
31,0.05324303465276655,34,1,142.3264824433452
32,0.05324303465276655,34,1,142.3264824433452
33,0.05324303465276655,34,1,142.3264824433452
34,0.05324303465276655,34,1,142.3264824433452
35,0.05324303465276655,34,1,142.3264824433452
36,0.05324303465276655,34,1,142.3264824433452
37,0.05324303465276655,34,1,142.3264824433452
38,0.05324303465276655,34,1,142.3264824433452
39,0.05324303465276655,34,1,142.3264824433452
40,0.05324303465276655,34,1,142.3264824433452
41,0.05324303465276655,34,1,142.3264824433452
42,0.05324303465276655,34,1,142.3264824433452
43,0.05324303465276655,34,1,142.3264824433452
44,0.05324303465276655,34,1,142.3264824433452
45,0.05324303465276655,34,1,142.3264824433452
46,0.05324303465276655,34,1,142.3264824433452
47,0.05324303465276655,34,1,142.3264824433452
48,0.05324303465276655,34,1,142.3264824433452
49,0.05324303465276655,34,1,142.3264824433452
50,0.05324303465276655,34,1,142.3264824433452
51,0.05324303465276655,34,1,142.3264824433452
52,0.05324303465276655,34,1,142.3264824433452
53,0.05324303465276655,34,1,142.3264824433452
54,0.05324303465276655,34,1,142.3264824433452
55,0.05324303465276655,34,1,142.3264824433452
56,0.05324303465276655,34,1,142.3264824433452
57,0.05324303465276655,34,1,142.3264824433452
58,0.05324303465276655,34,1,142.3264824433452
59,0.05324303465276655,34,1,142.3264824433452
60,0.05324303465276655,34,1,142.3264824433452
61,0.05324303465276655,34,1,142.3264824433452
62,0.05324303465276655,34,1,142.3264824433452
63,0.05324303465276655,34,1,142.3264824433452
64,0.05324303465276655,34,1,142.3264824433452
65,0.05324303465276655,34,1,142.3264824433452
66,0.05324303465276655,34,1,142.3264824433452
67,0.05324303465276655,34,1,142.3264824433452
68,0.05324303465276655,34,1,142.3264824433452
69,0.05324303465276655,34,1,142.3264824433452
70,0.05324303465276655,34,1,142.3264824433452
71,0.05324303465276655,34,1,142.3264824433452
72,0.05324303465276655,34,1,142.3264824433452
73,0.05324303465276655,34,1,142.3264824433452
74,0.05324303465276655,34,1,142.3264824433452
75,0.05324303465276655,34,1,142.3264824433452
76,0.05324303465276655,34,1,142.3264824433452
77,0.05324303465276655,34,1,142.3264824433452
78,0.05324303465276655,34,1,142.3264824433452
79,0.05324303465276655,34,1,142.3264824433452
80,0.05324303465276655,34,1,142.3264824433452
81,0.05324303465276655,34,1,142.3264824433452
82,0.05324303465276655,34,1,142.3264824433452
83,0.05324303465276655,34,1,142.3264824433452
84,0.05324303465276655,34,1,142.3264824433452
85,0.05324303465276655,34,1,142.3264824433452
86,0.05324303465276655,34,1,142.3264824433452
87,0.05324303465276655,34,1,142.3264824433452
88,0.05324303465276655,34,1,142.3264824433452
89,0.05324303465276655,34,1,142.3264824433452
90,0.05324303465276655,34,1,142.3264824433452
91,0.05324303465276655,34,1,142.3264824433452
92,0.05324303465276655,34,1,142.3264824433452
93,0.05324303465276655,34,1,142.3264824433452
94,0.05324303465276655,34,1,142.3264824433452
95,0.05324303465276655,34,1,142.3264824433452
96,0.05324303465276655,34,1,142.3264824433452
97,0.05324303465276655,34,1,142.3264824433452
98,0.05324303465276655,34,1,142.3264824433452
99,0.05324303465276655,34,1,142.3264824433452
100,0.05324303465276655,34,1,142.3264824433452
