Round,EnergyUsed,AliveNodes
1,0.08505346081812745,50
2,0.07659371701102748,50
3,0.08046243856889707,50
4,0.07653103836376719,50
5,0.06885877961248453,50
6,0.08499181646630784,50
7,0.0761314923947053,50
8,0.07411194942131621,50
9,0.07520320154183172,50
10,0.06804660317889132,50
11,0.08745286946720777,50
12,0.07983842558480035,50
13,0.0727594002916685,50
14,0.09314282088551036,50
15,0.07795706368259722,50
16,0.08289291458063368,50
17,0.07952094746992912,50
18,0.09448607605842493,50
19,0.08578174672801538,50
20,0.08778300803756335,50
21,0.07899313141956765,50
22,0.08677501382789912,50
23,0.08734581428330747,50
24,0.0923835940342545,50
25,0.06832050629105069,50
26,0.07463719389220771,50
27,0.09680338633057428,50
28,0.07329588709409753,50
29,0.07500295729005955,50
30,0.08905805842379717,50
31,0.07032289421186551,50
32,0.07543987860515289,50
33,0.0728245088911182,50
34,0.0705233827946837,50
35,0.09499789398158526,50
36,0.0816070516317006,50
37,0.08249216380402712,50
38,0.07448251901120147,50
39,0.079903260331175,50
40,0.08488060978998604,50
41,0.0838485495333936,50
42,0.08689436748559758,50
43,0.08112722495735701,50
44,0.07831158615622338,50
45,0.06902312390913151,50
46,0.072587634889244,50
47,0.08306473415400065,50
48,0.08062077009273412,50
49,0.0748175675648853,50
50,0.07588557988877502,50
51,0.07632969628007405,50
52,0.07872717142869717,50
53,0.08128014323243171,50
54,0.07885910672629234,50
55,0.07621466145698767,50
56,0.07373126999491092,50
57,0.09219947275402443,50
58,0.08505227553009857,50
59,0.07216454911448153,50
60,0.0818135161726284,50
61,0.08009912167440995,50
62,0.07663710532017182,50
63,0.07266438101989231,50
64,0.07727669708972416,50
65,0.07680051624867576,50
66,0.10873152578806969,50
67,0.07923762056879147,50
68,0.08344377818113495,50
69,0.07611290698810814,50
70,0.07950625333030717,50
71,0.07523732679652664,50
72,0.08018707258375986,50
73,0.09311119799573521,50
74,0.07982795569337925,50
75,0.08391266690913982,50
76,0.08587641300433702,50
77,0.07127002082779063,50
78,0.07368522476697893,50
79,0.0956764244194396,50
80,0.08471096023539867,50
81,0.08141066031359119,50
82,0.098466815001451,50
83,0.08313801680171211,50
84,0.07433846208224706,50
85,0.07901896393640978,50
86,0.08589712914614284,50
87,0.07705916712982773,50
88,0.07688697465464456,50
89,0.07327539950536532,50
90,0.08381897494568384,50
91,0.07348645312529398,50
92,0.08072673467770428,50
93,0.0693554687148534,50
94,0.07200663550921299,50
95,0.08737191620926352,50
96,0.07810233969477788,50
97,0.07777801562889936,50
98,0.07587858454714345,50
99,0.08383392464132129,50
100,0.09210683821631692,50
