Round,EnergyUsed,AliveNodes
1,0.05840961239101339,50
2,0.059000586888599174,50
3,0.06063960668223531,50
4,0.0611561219036363,50
5,0.0611561219036363,50
6,0.0611561219036363,50
7,0.05813366219821088,50
8,0.0611561219036363,50
9,0.05813366219821088,50
10,0.059517102110000164,50
11,0.06235665736242442,50
12,0.05813366219821088,50
13,0.06262641536069524,50
14,0.05823322751999943,50
15,0.06290016470714144,50
16,0.06125169587724949,50
17,0.05987770500171602,50
18,0.05934291808534253,50
19,0.0586771695429279,50
20,0.06245223133603761,50
21,0.05840741154465706,50
22,0.0627259806824838,50
23,0.06125169587724949,50
24,0.05960794700344518,50
25,0.06125169587724949,50
26,0.057239245764187804,50
27,0.06125568722542485,50
28,0.06311842183341833,50
29,0.057926877693278075,50
30,0.06284866383514749,50
31,0.05872124264454716,50
32,0.0621498728574916,50
33,0.06164812837635937,50
34,0.058282758309699145,50
35,0.06112352142336111,50
36,0.05965202010506444,50
37,0.061572574702639896,50
38,0.06269078707139035,50
39,0.05855011499721448,50
40,0.0603350184795228,50
41,0.05957842504366313,50
42,0.060895418650208324,50
43,0.05761622714510592,50
44,0.06129750161202145,50
45,0.062100653656792404,50
46,0.05987848424267844,50
47,0.0612151785219838,50
48,0.05936703059532185,50
49,0.061947895435750924,50
50,0.059175603548350955,50
51,0.05908652060216486,50
52,0.059582898271566376,50
53,0.061967285619340604,50
54,0.060289974427036847,50
55,0.062296037051366424,50
56,0.059150975336364583,50
57,0.06275361636751581,50
58,0.05979067900196118,50
59,0.06275361636751581,50
60,0.05924232904335745,50
61,0.06301535555654313,50
62,0.06015768216856998,50
63,0.06056906998813971,50
64,0.05972472816481983,50
65,0.06116431002750357,50
66,0.06063418982868726,50
67,0.06037448350671548,50
68,0.05696195046577232,50
69,0.06046583721370835,50
70,0.06068718925723876,50
71,0.06009038672492362,50
72,0.06018293733023995,50
73,0.05997888590147808,50
74,0.05819987054119946,50
75,0.0602563421216777,50
76,0.059905481110040334,50
77,0.059895230416413994,50
78,0.0610010452871145,50
79,0.06016498841468482,50
80,0.05719566007111816,50
81,0.0610010452871145,50
82,0.06124437114934797,50
83,0.06180297180157805,50
84,0.06024785890119547,50
85,0.061060759388416014,50
86,0.06157965246859279,50
87,0.058701677832019,50
88,0.06022611845816074,50
89,0.06139604070766082,50
90,0.06153462974548163,50
91,0.060761544511718224,50
92,0.059570968103534405,50
93,0.058961185136663485,50
94,0.05938486559032767,50
95,0.060761544511718224,50
96,0.060792417332319604,50
97,0.060179798948529636,50
98,0.06255001236034326,50
99,0.060649221705063164,50
100,0.059220724354481585,50
