Round,EnergyUsed,AliveNodes
1,0.06231881906216382,50
2,0.06231881906216382,50
3,0.06231881906216382,50
4,0.06876959948569011,50
5,0.06898029663237076,50
6,0.06982761847437402,50
7,0.07201587503144988,50
8,0.0667920400752949,50
9,0.07307389402013378,50
10,0.06876959948569011,50
11,0.07307389402013378,50
12,0.0679821306366376,50
13,0.07320596559279255,50
14,0.07101770903571672,50
15,0.07392460054741745,50
16,0.06694214702662035,50
17,0.07392460054741745,50
18,0.07105655496711,50
19,0.07392460054741745,50
20,0.07067832500165769,50
21,0.072332326101504,50
22,0.07224668242217977,50
23,0.0750464187416266,50
24,0.07250326256072964,50
25,0.07260663228107703,50
26,0.07307648356654549,50
27,0.07115303148335306,50
28,0.07057260752304707,50
29,0.07172069822433837,50
30,0.06913635856891082,50
31,0.07315694717847462,50
32,0.0723255055982263,50
33,0.07278873205959492,50
34,0.0723255055982263,50
35,0.07109590296690876,50
36,0.07401833469091246,50
37,0.06790675593759328,50
38,0.07401833469091246,50
39,0.07109590296690876,50
40,0.0723255055982263,50
41,0.07278873205959492,50
42,0.0685739046368312,50
43,0.06939293870746072,50
44,0.07230067363793802,50
45,0.07227095766138247,50
46,0.07397025930284602,50
47,0.07309219322429862,50
48,0.07334877336284851,50
49,0.07135258426602817,50
50,0.07413059889816355,50
51,0.07346876895965965,50
52,0.07457570380391879,50
53,0.07571325612015213,50
54,0.07617031133614605,50
55,0.07291571898710891,50
56,0.07383222255561873,50
57,0.07151597397980275,50
58,0.0774537411370457,50
59,0.07444426380611344,50
60,0.07370533087200754,50
61,0.07337230028352273,50
62,0.07148823694803541,50
63,0.07665869704740531,50
64,0.07410104575862894,50
65,0.07480750937662817,50
66,0.07479103826885691,50
67,0.0741046658887031,50
68,0.07382843792782076,50
69,0.07695529513447719,50
70,0.07605944418453867,50
71,0.07488334641936051,50
72,0.07323644868515164,50
73,0.0769116887061873,50
74,0.07406094096319085,50
75,0.07752320727396649,50
76,0.07541436778390292,50
77,0.07770135393678895,50
78,0.07664112686767591,50
79,0.07407117610146982,50
80,0.07702544642390144,50
81,0.07664226435564589,50
82,0.07542176617032359,50
83,0.07664226435564589,50
84,0.0754089151926265,50
85,0.07667494344663836,50
86,0.07586130112466637,50
87,0.07379959532469213,50
88,0.07498511112300489,50
89,0.07255193674450222,50
90,0.0763732203531188,50
91,0.0800748982507583,50
92,0.07492152178176716,50
93,0.07800641941498279,50
94,0.07687910120060909,50
95,0.07605883407433767,50
96,0.0770882142240669,50
97,0.07884066659216725,50
98,0.07763313540789382,50
99,0.0783698575609568,50
100,0.07959794109053951,50
