Round,EnergyUsed,AliveNodes
1,0.05673154100536163,46
1,0.0654582624082368,44
2,0.06335295776045438,44
3,0.06195301748590277,42
4,0.05981045872932391,41
5,0.060487791467471436,41
6,0.05953071797742224,41
7,0.05909770748573762,41
8,0.05953071797742224,41
9,0.05947388399789483,41
10,0.05990689448957944,41
11,0.06346952835860362,41
12,0.05990689448957944,41
13,0.061001355075667674,40
14,0.05718112979137316,40
15,0.059610023713126195,40
16,0.058678950372136975,40
17,0.060043034204810816,40
18,0.056930159616434876,40
19,0.060043034204810816,40
20,0.056930159616434876,40
21,0.06135881446882829,40
22,0.059610023713126195,40
23,0.05857834997135996,40
24,0.059610023713126195,40
25,0.05857834997135996,40
26,0.06092580397714367,40
27,0.0573631701081195,40
28,0.061377351818306676,40
29,0.057049297366690274,40
30,0.061377351818306676,40
31,0.05809148713299146,40
32,0.06067075082890578,40
33,0.05801277438892097,40
34,0.061788680598597365,40
35,0.06069263848561229,40
36,0.059328554652938445,40
37,0.061907818348852756,40
38,0.05637290755388246,40
39,0.061907818348852756,40
40,0.05801277438892097,40
41,0.06322359861287025,40
42,0.05637290755388246,40
43,0.06069263848561229,40
44,0.059108816501906046,40
45,0.06069263848561229,40
46,0.06158373177783173,40
47,0.05829553861053527,40
48,0.05967367867927371,40
49,0.05829553861053527,40
50,0.05967367867927371,40
51,0.05829553861053527,40
52,0.060913195054996504,40
53,0.05954333981401394,40
54,0.05873208931374953,40
55,0.05966247756426934,40
56,0.06112716179772019,40
57,0.059947269176989997,40
58,0.058385090048798785,40
59,0.06234234166096066,40
60,0.0560522252170582,40
61,0.06112716179772019,40
62,0.05966247756426934,40
63,0.05861295156349413,40
64,0.059600269912039254,40
65,0.06112716179772019,40
66,0.05966247756426934,40
67,0.05870248401850713,40
68,0.0560522252170582,40
69,0.05888577667387396,40
70,0.058775906393973704,40
71,0.059146397026029224,40
72,0.05821600877550941,40
73,0.059027259275773826,40
74,0.05715451627239338,40
75,0.05726740508029868,40
76,0.05715451627239338,40
77,0.055536144678818095,40
78,0.05836969613563385,40
79,0.055536144678818095,40
80,0.05836969613563385,40
81,0.05873208931374953,40
82,0.059146397026029224,40
83,0.058096871025254015,40
84,0.059146397026029224,40
85,0.05715451627239338,40
86,0.055536144678818095,40
87,0.05888577667387396,40
88,0.055536144678818095,40
89,0.05774391564096218,40
90,0.055536144678818095,40
91,0.056397344099234005,40
92,0.05778218669139949,40
93,0.05595886512638892,40
94,0.06151157678886602,40
95,0.05522146034496357,40
96,0.05671202843308853,40
97,0.05522146034496357,40
98,0.056397344099234005,40
99,0.05522146034496357,40
100,0.05805501180177933,40
