Round,EnergyUsed,AliveNodes
1,0.10300071713454956,50
2,0.10300071713454956,50
3,0.10300071713454956,50
4,0.10300071713454956,50
5,0.10300071713454956,50
6,0.10300071713454956,50
7,0.10300071713454956,50
8,0.10300071713454956,50
9,0.10300071713454956,50
10,0.10300071713454956,50
11,0.10300071713454956,50
12,0.10300071713454956,50
13,0.10300071713454956,50
14,0.10300071713454956,50
15,0.10300071713454956,50
16,0.10300071713454956,50
17,0.10300071713454956,50
18,0.10300071713454956,50
19,0.10300071713454956,50
20,0.10300071713454956,50
21,0.10300071713454956,50
22,0.10300071713454956,50
23,0.10300071713454956,50
24,0.10300071713454956,50
25,0.10300071713454956,50
26,0.10300071713454956,50
27,0.10300071713454956,50
28,0.10300071713454956,50
29,0.10300071713454956,50
30,0.10300071713454956,50
31,0.10300071713454956,50
32,0.10300071713454956,50
33,0.10300071713454956,50
34,0.10300071713454956,50
35,0.10300071713454956,50
36,0.10300071713454956,50
37,0.10300071713454956,50
38,0.10300071713454956,50
39,0.10300071713454956,50
40,0.10300071713454956,50
41,0.10300071713454956,50
42,0.10300071713454956,50
43,0.10300071713454956,50
44,0.10300071713454956,50
45,0.10300071713454956,50
46,0.10300071713454956,50
47,0.10300071713454956,50
48,0.10300071713454956,50
49,0.10300071713454956,50
50,0.10300071713454956,50
51,0.10300071713454956,50
52,0.10300071713454956,50
53,0.10300071713454956,50
54,0.10300071713454956,50
55,0.10300071713454956,50
56,0.10300071713454956,50
57,0.10300071713454956,50
58,0.10300071713454956,50
59,0.10300071713454956,50
60,0.10300071713454956,50
61,0.10300071713454956,50
62,0.10300071713454956,50
63,0.10300071713454956,50
64,0.10300071713454956,50
65,0.10300071713454956,50
66,0.10300071713454956,50
67,0.10300071713454956,50
68,0.10300071713454956,50
69,0.10300071713454956,50
70,0.10300071713454956,50
71,0.10300071713454956,50
72,0.10300071713454956,50
73,0.10300071713454956,50
74,0.10300071713454956,50
75,0.10300071713454956,50
76,0.10300071713454956,50
77,0.10300071713454956,50
78,0.10300071713454956,50
79,0.10300071713454956,50
80,0.10300071713454956,50
81,0.10300071713454956,50
82,0.10300071713454956,50
83,0.10300071713454956,50
84,0.10300071713454956,50
85,0.10300071713454956,50
86,0.10300071713454956,50
87,0.10300071713454956,50
88,0.10300071713454956,50
89,0.10300071713454956,50
90,0.10300071713454956,50
91,0.10300071713454956,50
92,0.10300071713454956,50
93,0.10300071713454956,50
94,0.10300071713454956,50
95,0.10300071713454956,50
96,0.10300071713454956,50
97,0.10300071713454956,50
98,0.10300071713454956,50
99,0.10300071713454956,50
100,0.10300071713454956,50
