Round,EnergyUsed,AliveNodes
1,0.034244761867693846,50
2,0.034244761867693846,50
3,0.034244761867693846,50
4,0.034244761867693846,50
5,0.034244761867693846,50
6,0.034244761867693846,50
7,0.034244761867693846,50
8,0.034244761867693846,50
9,0.034244761867693846,50
10,0.034244761867693846,50
11,0.034244761867693846,50
12,0.034244761867693846,50
13,0.034244761867693846,50
14,0.034244761867693846,50
15,0.034244761867693846,50
16,0.034244761867693846,50
17,0.034244761867693846,50
18,0.034244761867693846,50
19,0.034244761867693846,50
20,0.034244761867693846,50
21,0.034244761867693846,50
22,0.034244761867693846,50
23,0.034244761867693846,50
24,0.034244761867693846,50
25,0.034244761867693846,50
26,0.034244761867693846,50
27,0.034244761867693846,50
28,0.034244761867693846,50
29,0.034244761867693846,50
30,0.034244761867693846,50
31,0.034244761867693846,50
32,0.034244761867693846,50
33,0.034244761867693846,50
34,0.034244761867693846,50
35,0.034244761867693846,50
36,0.034244761867693846,50
37,0.034244761867693846,50
38,0.034244761867693846,50
39,0.034244761867693846,50
40,0.034244761867693846,50
41,0.034244761867693846,50
42,0.034244761867693846,50
43,0.034244761867693846,50
44,0.034244761867693846,50
45,0.034244761867693846,50
46,0.034244761867693846,50
47,0.034244761867693846,50
48,0.034244761867693846,50
49,0.034244761867693846,50
50,0.034244761867693846,50
51,0.034244761867693846,50
52,0.034244761867693846,50
53,0.034244761867693846,50
54,0.034244761867693846,50
55,0.034244761867693846,50
56,0.034244761867693846,50
57,0.034244761867693846,50
58,0.034244761867693846,50
59,0.034244761867693846,50
60,0.034244761867693846,50
61,0.034244761867693846,50
62,0.034244761867693846,50
63,0.034244761867693846,50
64,0.034244761867693846,50
65,0.034244761867693846,50
66,0.034244761867693846,50
67,0.034244761867693846,50
68,0.034244761867693846,50
69,0.034244761867693846,50
70,0.034244761867693846,50
71,0.034244761867693846,50
72,0.034244761867693846,50
73,0.034244761867693846,50
74,0.034244761867693846,50
75,0.034244761867693846,50
76,0.034244761867693846,50
77,0.034244761867693846,50
78,0.034244761867693846,50
79,0.034244761867693846,50
80,0.034244761867693846,50
81,0.034244761867693846,50
82,0.034244761867693846,50
83,0.034244761867693846,50
84,0.034244761867693846,50
85,0.034244761867693846,50
86,0.034244761867693846,50
87,0.034244761867693846,50
88,0.034244761867693846,50
89,0.034244761867693846,50
90,0.034244761867693846,50
91,0.034244761867693846,50
92,0.034244761867693846,50
93,0.034244761867693846,50
94,0.034244761867693846,50
95,0.034244761867693846,50
96,0.034244761867693846,50
97,0.034244761867693846,50
98,0.034244761867693846,50
99,0.034244761867693846,50
100,0.034244761867693846,50
