Round,EnergyUsed,AliveNodes
1,0.08585077848081674,50
2,0.0975158724239501,50
3,0.09042150580013941,50
4,0.07558276452084445,50
5,0.0954917415705949,50
6,0.07610925569249574,50
7,0.0786320810604812,50
8,0.08189068770584951,50
9,0.07756833063225892,50
10,0.0952848719672391,50
11,0.07928747110703034,50
12,0.09109775352629329,50
13,0.08030575995373909,50
14,0.0929933663724394,50
15,0.06911774146181386,50
16,0.06898685370261493,50
17,0.0847485039535735,50
18,0.08741598257545719,50
19,0.12273157665535195,50
20,0.0863685587882919,50
21,0.07932343711067606,50
22,0.08201747211321771,50
23,0.09293269398136998,50
24,0.09181199185816274,50
25,0.08120434254836437,50
26,0.0889590199284944,50
27,0.07740536646652686,50
28,0.08314165368540576,50
29,0.07405479620954644,50
30,0.08119206797976866,50
31,0.07315810904624434,50
32,0.09071769347756782,50
33,0.06999479995603947,50
34,0.08135013924783639,50
35,0.0779591806441058,50
36,0.09151024446565725,50
37,0.08196869115652329,50
38,0.081492644319869,50
39,0.07771191154468995,50
40,0.07806362588900419,50
41,0.07342404335175239,50
42,0.06944307043182203,50
43,0.08224543055911786,50
44,0.08958603175351296,50
45,0.07782933915774393,50
46,0.08765153661599712,50
47,0.0848375319425799,50
48,0.08413743727378145,50
49,0.07640649508832997,50
50,0.08121876988272798,50
51,0.08373777339560928,50
52,0.07590429696065744,50
53,0.08601753144282248,50
54,0.09101626519348854,50
55,0.07380509088644266,50
56,0.11760815187434825,50
57,0.08413803403155985,50
58,0.07510497945132542,50
59,0.0749511028075944,50
60,0.08979426751817696,50
61,0.07226398911329099,50
62,0.0817988848859711,50
63,0.10140287860441267,50
64,0.07559785427197231,50
65,0.0885942808341647,50
66,0.07845212162114826,50
67,0.08404274532234914,50
68,0.10283501202549053,50
69,0.08289671373855981,50
70,0.0785266085422573,50
71,0.06909887231493475,50
72,0.08416797957630258,50
73,0.0946682488147055,50
74,0.08847398501820468,50
75,0.07825354989442337,50
76,0.09288462893491616,50
77,0.08139644429607137,50
78,0.0869097140771408,50
79,0.0728606404119127,50
80,0.09434274965388419,50
81,0.0736087130260868,50
82,0.07829828990900174,50
83,0.07078562024064375,50
84,0.08904890076068703,50
85,0.08287403166271225,50
86,0.07707408834400897,50
87,0.09873420562945699,50
88,0.08688138116986331,50
89,0.07921527581709259,50
90,0.08250157216151324,50
91,0.08661050418775113,50
92,0.08785871074791607,50
93,0.0823634564367743,50
94,0.07580317670129946,50
95,0.07451341776661395,50
96,0.08579976593974487,50
97,0.08687668486547641,50
98,0.07706784313638837,50
99,0.08207686084736406,50
100,0.07908678747582967,50
